airline_sentiment,text
neutral,oh aa speed dial
positive,thank
negative,human contact mths cust relations refund dept ever problem humans talk
negative,hope system wasnt hacked cause someone elses passport info reservation amp couldnt get boarding pass
neutral,well try see soon
negative,pleaseeee resume direct flights fll phl dont want fly anyone else
negative,ive experienced better service making connecting flight badcustomerservice jfk pr
negative,plz kys sitting plane hour want leave
negative,would guys please send service agents gate philly people missed connections theres
positive,follow maintenance team thanks tweet kp” thank united cares
negative,fix asap
neutral,ppl need know many seats next flight plz put us standby people next flight
negative,flight cancelled flightled yesterday moved today stop dc flight delayed due lack crew
negative,yet still havent left yet cant watch prepaid directtv firstworldproblems
negative,better aa
positive,thanks champagne ordnrt celebrate finish
neutral,seeing sunset st john usvi philly
negative,hours gates planes late flightr still update explanation apology worstairlineever unitedairlines
negative,yes nvr fly missed con flight bc coffeemaker couldnt see father put coma
negative,seriously flight delay cinci philly due new ground staff miss connection man uk argue hotel wtf
positive,glad like feel free steal
positive,thank
negative,yes pay another flight get tomorrow since werent anymore tonightnot fun
negative,ice totally understand large number us facing hours time overnight cancelled flightations seems like
neutral,winners destinationdragons announced
negative,original receipt lists flight cost doesnt reflect use voucher
positive,ceo gary kelly americas loved flown airline southwestrally bwi bestemployees swaculture swapic
positive,got covered thanks
negative,almost weeks still word dot update london fare us cities updates end
neutral,inflight promo tvs includes brian williams tough edit quickly complaint observation
negative,sorry uncomfortable andrew you” sma
negative,man steel flies cities thoughand frequency
negative,want treat platinum two gold flyers
negative,followed tried record locator number gave error code
neutral,dmed
neutral,requested heres selfie somewhere rockys milehighselfieclub
negative,id say public cant extend vacation week point advertise multiple flights cant honor
positive,make world better place visit elderly relative
negative,bet doesnt turn thirty minute delay original flight hour delayed arrive time
negative,ua way plane loses software believe decided upgrade
neutral,cant look confirmation number moment mobile email longer inbox
negative,yeah tried times two different tickets told try late flightr
negative,ordered always flight delayed hours worse ever forgot meal
neutral,gates main terminal dca members keeping watch atct avgeek
neutral,trying add boy prince ressie sf thursday lax
negative,shits gotta stop rt fleets fleek
negative,calling hours reschedule flight dfw due weather wont even let stay hold
positive,get tiks destinationdragons omg id love plz ❤️im dying
negative,let someone black twitter multimedia department
neutral,i’d suggest proper information dissemination staff timely amp relevant schedule prevent future
negative,yes headed deice minutes sent made austin waiting luggage
positive,im really craving pretzels please send
negative,ive hold half hours thanks cancelled flighting flight notifying
positive,managed get sorted phone good luck dealing snow texas
negative,would think going cancelled flight flight youd rebook seats something last row usairwaysfail
negative,customer service sucks rep yelling caller regarding weather dfw hope go bankrupt
neutral,jump dallas austin market
negative,wrote customer support monday re cancelled flighted flight havent heard back idea whats thanks
positive,best amazing follow please
negative,big fail curbside baggage pittsburgh charge dollars bag
neutral,take fraud seriously
neutral,told emergency services stay home next hours
negative,tried us towed think ill flying terminal risk fine corrupt police official
negative,trying rebook flight cancelled flightlation nightmare hung help rebook
negative,hopefully flight seattle boston wifi first one entertain lizaapproved
neutral,hiring flight dispatcher chicago il network operations centerl
negative,nah boofin dont talk like humans know respond like actually brain dont want customer relations
negative,tough night two minute calls hold delayed phoenix two days one aircraft ready acceptable
negative,change another airline get dc today able land dc cost ugh
neutral,flight got cancelled flightled grk dfw lex tomorrow need rebooked
positive,new logo going look amazing airplanes
negative,well degree could know experience im cancelled flighting miles card thank god
neutral,hook free trip barbados tell secret beaches see
negative,isnt sheer incompetence reigning dfw today plane gd runway doubt
neutral,would love tix velour showentered every contest still havent won
negative,discontinue nonstop service sjc bos cant find anywhere
positive,trying make look bad website says due weather charleston nc actually sc nc
negative,cancelled flight every flight dont
negative,sitting gate flight hour due computers backup plan place
negative,customer service terrible youre terrible thought know
positive,holy high speed internet batman speeds united club iad insanely fast thanks
negative,crew gate
negative,charge delay united still waiting
negative,cool customer told didnt care either expected
negative,call find rebooked tomorrow ask number email day info
negative,wrong boston plains leaving tonight son needs get back state college pa
neutral,good morning first class upgrades available feb rsw ewr need seats please
neutral,official word whether flight bwi manchester cancelled flightled ive got drive snow
negative,stranded hours mia patrick casimir aa staff apologize great inconvenience unreal
negative,bump group wont forced check bag wait minutes lga
neutral,help
positive,thank cancelled flighting flights putting husbands life danger driving weather safetyfirst
negative,overbooked fifty people worst
negative,thought merged usairways sucks worstever
negative,today take flight san francisco refuse let us board baby early time board wont let us take baby carryon bag
positive,finally gave let threatened send back vegas coach thnx
positive,captain flight phxphl tonight hilarious greetings pointy end airplane haha thanks
negative,hold mins anyone hv connection sw another airline get chi columbus ewr
positive,thanks quick response fingers crossed plane gets
positive,rt you’ve met match got status another airline upgrade restr
negative,luggage fees wont flying jb least aa gives platinum pass bags tired overchging bg herded like
negative,stand baggage claim hour waiting bag knew never made plane
neutral,get companion pass thanks lin
negative,bag supposedly boston
negative,thanks much ruining vacation really couldnt done without
negative,listen learn amp remove pqd requirement insulting ha
negative,thankfully lounge next door really impressed oneworld partnerships
negative,callers east coast able speak actual human reservation support agents busy call late flightr
negative,makes total sense except flight wasnt full ive got empty seats around amp overheads half open boarded
negative,read say cases please define example would case
neutral,expect delays dca departure going orlando flight
negative,yes february bad weather happens every winter guys dont business sense forecast im loss
negative,need order special meal cant reach aa hold hours
negative,apologize president employees blamed heard repeated times
neutral,ktn showing boarding tsa precheck applying boarding pass
negative,hrs hold husband decided sleep shifts dont miss phone rep reschedule
positive,thanks marie reflight booking problems friends im cali bound thanks sweet angel blessed
positive,love bridesmaid dancing cant wait fly puerto vallarta kick united ass
neutral,old fly ordpvg get upgraded
negative,cannot believe long flight phi taking know us airways would really like get home
negative,hilarious
positive,landed crew couldnt gracious accommodating although long delay appreciate prompt response
neutral,gate agent club staff got priority standby next might minor disastertravelingwithsmallkids
neutral,omg omg omg
neutral,people mci del preferably jet airways ewrbrudel segment anytime december
positive,didnt really need anything saw mentions often negative keep good work gratitude ✈️
negative,pls help hold long time travelling business flight orf mci cancelled flightled need get asap
negative,sent green tagged bags luggage carousel one mess another bad day
negative,guys give helping people phone tree hangs flight tomorrow connection pending
negative,planes sitting one going home usairwaysfail
negative,let get iahhnl direct weather delay sfo leg stop reactive proactive
negative,lost sunglasses flight okc iah morning takeoff way retrieve
negative,hope thank help traveled halfway across globe wants suitcase
negative,never fly guys stuck memphis another day called credit something anything
positive,definitely
negative,gf hold hours call dropped help need flight
negative,admit clue flight leave denver unfriendlyskies
neutral,miss nerdbird san jose
neutral,flights columbus ohio dallas texas cancelled flighted
positive,love guys
negative,totally sucks cousin worked phl said
negative,honestly shock process service compares airline experiences really sure say
negative,landed phl row window cover could use luv
negative,delay know get dont credit anybody back supervisor cut speaking
positive,phenomenal frm gate sea gate iad
negative,didnt funds purchase another ticket error would cause family miss funeral
positive,im enjoying flights far youre great job todays tough thanks making flights comfortable
neutral,please hold need get home tonight weather almost
negative,receipt conf thur flight call help literally hung bc wait times help
negative,flight booking problems section website seems broken chrome might wanna look
negative,received one previously checked odd said complaint associated email
negative,lines may extra long security slow seems employees quick blame customers dont arrive hours ahead
negative,thanks nothing next time ill bring whole extra suitcase extra pound makes sense right
neutral,lololololol fleets fleek
negative,left orlando line standby land im priority members get first available seats awesome
negative,thats weak see ya hey
negative,nothing like back back delayed flights let hope one isnt hours like last time
neutral,need follow order dm
positive,awesome
neutral,time flying southwest two years another trip back mx october
negative,mechanical issues causes delay connecting plane ord needed wait min refused left early instead wtf
negative,thanks guarantee deli ever bags hotel bag missed connection sfo customerservicenot
negative,hey aa help itinerary plat custy stuck pvr phones arent working
negative,fyi last email response undrstnd wasnt best hope wlcm back onbrd future nice touch lol
neutral,rt fleets fleek
positive,rock making watch oscars flight redcarpet oscars
neutral,flight look im hearing cancelled flightled departures im head
negative,hour flight fll ewr waiting hour plus bags sign yet gives
negative,really aggressive blast obnoxious entertainment guests faces amp little recourse
negative,thats unusual means screwed never admit goingforgreatnessfail
neutral,hi ho hi ho work go weeklycommuteonaa
negative,started trying reach real person hour ago still luck
positive,thanks catch conection
neutral,following dont think dm follow
neutral,omgee onfleek many people even know means lol
negative,sister received call trip wednesday flts cancelled flightled resched next day
negative,wonder people hate dealing airlines ridiculous inflexible policies need phone number resolution
negative,pay extra cos flight longer available wouldnt accept us card way nyc
negative,didnt give wifi password smh
positive,guess ashley shes great job presenting ragandisney
neutral,know hard predict flights dallas nashville tomorrow
negative,long wait literally went shopping different centers lunch prepared dinner surprise winter staff better
negative,rude arrogant gate personnel uncalled unprofessional theworst
negative,whats three delays far resulting three hours unnecessary extra waiting
neutral,sorry wrong link bag thats one meant
negative,well start would nice ticket actually system change flight
neutral,eta flight orlando morning
positive,flight booked heading california team march cant wait expowest
positive,thanks karen salisbury iah amazing customer service found daughters bag lost made day
neutral,done requested
negative,mention plane luggage luggage im going many days
positive,handled question like social media pros good practice transportation systems run friendly ais
neutral,fortunately didnt flight took time
positive,thanks customers like stay loyal check landing
negative,simply minor mechanical would say
negative,pilots plane flight says still time ground minutes ago
negative,believe irina flipside super disappointed eatup cafe isnt available bos gt sfo flight today
positive,sent dm thank acknowledgment
neutral,know rt fleets fleek
neutral,good understand terminology merger brings new verbiage
negative,time spent night trying sleep toddler bed airport ramada without luggage kidnapped furious
neutral,first time flyer scheduled roundtrip set departure date sure returning date policyfees changing re flight
negative,really getting worse day goes late flight leaving diverted sitting tarmac va
negative,aa agent said repeated explaining told understand english replyour conversation
negative,sounding like got bitchslapped
neutral,okay rt fleets fleek
negative,airline also delayed bags us hours amp refused ship local airport disappointed stillbagless
negative,pilot stated years flying never experienced anything like gettingoffplane
neutral,email address write account might less likely disappear
negative,sure still dallas plane gate min update flight poor service
negative,sitting flight hour landing newark first gate jetway operator seriously
negative,cant stress enough awful agent flight knew ppl delayed flight way mins compassion
negative,stated im getting help tk hrs yest spk live person told chk site
negative,id like know bag ill get dont already accountability cust service
negative,skippers walkaround
negative,checkin shitshow agent behind counter tried send wrong destinationrude
positive,getting sorted thanks
neutral,grand budapest hotel oscarscountdown
positive,thanks everything aok
positive,haha didn’t disappoint well done jvmchat
neutral,cancelled flighted flight didnt rebook us added flight drive denver kcthanks
neutral,please start offering routes locations
neutral,playing along home
neutral,uk citizen uk number could try
negative,flight im trying change hours ive trying reach agent unbelievable
negative,meelan afford supervisor included conversation pls check rec call badcustomerservice
negative,reasonable wait mins bag made check flight staff couldnt police overhead bins
negative,min delay thanks maintenance issues thanks wasting day
negative,plus horrible seating poor customer service everywhere ive flown take away mileage programhorrible
negative,one im trying make probably late flight see email could call pittsburgh international
negative,good care customers anything happen take getting back nyc screw
negative,cancelled flightled original flight aruba way home told dont seats never flying
negative,friend lost luggage flight
negative,hope flyers get credit sort delays cancelled flightlations shittydeal notimpressed
positive,en route airport rebooked ticket refunded
negative,still need help hung twice customer service rep said way help gate rep phone rep
negative,signed notifications first trip updated sure happened
negative,trouble wifi matter get redirected back getconnected page even though says im connected
positive,would go las vegas gorgeous go every year fly guys vegas gorgeous amp much
negative,lost wifes luggage nobody gives answer say go call
negative,recap bounced flight lied hung supposed thinkdo
neutral,hi please ticket award ticket status request thanks
negative,hello flight cancelled flightled destinationdragons one desk kci knows fuck happening
negative,ordlhr bags loaded late flight frigid air cabin plane feels like falling apart upgrade long haul fleet
neutral,idea tsa precheck isnt showing next flight tomorrow number profile
negative,thanks info super large passengers extra seat mr big needed one sitting already customerservice
positive,please robin ewr premiere desk helping get earlier flight work huge thanks
negative,despicable spoke many diff people amp everyone telling something different claim need bag
negative,ive hold hours reschedule cancelled flightled flight morning gives need help
neutral,continues prove best airlines
negative,flight den jfk already delayed idea might change due weather forecast etc
negative,three people awesome working long hours easy say sorry twitter help ppl
neutral,confirmation number
negative,travel agency said usairways accept refund money dont understand dont refund
neutral,would like talk someone please follow
negative,hello flying first class behind people zone pls pass app dept board class first
positive,kudos cancelled flightling flights dfw morning united usually first panic
negative,flight sfo burbank delayed twice still plane sight get together
negative,neglected mention fee per ticket medical reason still jump thru hoops
negative,worst customer service line ive called times today able talk real human
neutral,guarantee well see tomorrow morning fight seat
negative,asked needed take yellow tag said told expect personal apology unacceptable
positive,forgot intl flights lax dont go intl terminal easiest recheck ever woo
negative,thank even coming solution great service might sayas trueblue member totally dissatisfiedthanks
positive,app reminded flying fll weeks chillycvz thankgoodness family friends sunshine
negative,lost baggage… heard different things different employees said nothing
neutral,woof
neutral,nothing tonight flight gogo internet way someone could send dm email
negative,people status get buy upgd much less cost ahead premiers earned confirmed certificates
negative,moved us onto availability answer phone young children help
negative,also find ridiculous ive tweeting since est still received response hours
neutral,fleets fleek happened
negative,would pay reactivate points useful certain flights arent even worth
negative,useless baggage service called tell us would bags maybe midnight
negative,none lax flights dfw cancelled flightled landing fine completely arbitrary
negative,sitting phl rude customer service agents
negative,flight passengers stuck plane philly gangway cant hear pilot
neutral,us air points combined
negative,ur specialist said would talk stewardess serving drunks drinks really help
negative,still waiting captain reports hes called times get ground crewand still sitting runway evenlate flightr
positive,great landing denver next rapid city snow starting fallflorida everglades faint sunburn awayhere comes cold
negative,ok done experience family terrible experience kind like robbedexplain
negative,ive since rebooked another airline would like compensation timemoney lost
neutral,time arrive airport domestic flight san diego
negative,checkin system poor
positive,rules
negative,ur hemispheres magazine im open make flight pleasant
negative,disappointed wasnt allowed change seats checking early online flight tomorrow morning
negative,two tight connections charlotte frankfurt
neutral,turkish airlines rebooked us united flight second leg fra gt iad way check upgrades available
negative,jfk sort guess things small airport whatever
negative,flightdelay early craft arrival pilot stuck traffic fail nocustomerservice nocompensation
negative,fact making customers pay choose seat try convince using psychological tricks colors
negative,bad cs back least stuck look apologize trouble
positive,glad guys business class ur competitors
positive,happily flight delayed cockpit visit blew fouryrolds mind thanks capn
negative,thanks changed managed arrive hours delay exhausted
negative,told guy help us sit next year old flight jetblue
negative,get thru hold hours
positive,orlando dca awesome flight attendant robert
positive,lovely part long day attendants beyond exceptional today givethoseladiesraise
negative,may bewhat issucks fail
negative,booked hotel night find room midnight say bags plane cant
negative,avoidable nonweather delays appreciation link better giving goldentickets
neutral,working piece military discounts hearing offer one give specifics confirm thank
negative,farmy phone wait time longer oscars coverage whatcustomerservice
neutral,type plane flt bos rsw
positive,ill stick united flight thanks though effort much appreciated
negative,ive flown figured worth miles lifetime first last ever flight us airways
negative,bags supposed delivered nyc last night missing since thurs someone call
negative,great tell fix media filmcrew photography cameragear
positive,excited first time sunday march get fly jetblue flight mint jfk looking forward
negative,manage itinerary section website seems broken
negative,calling number useless heading airport pick bags whole situation seems like real joke
negative,hold mins attempt get receipt showing change fees upcoming flight please help
positive,really stepping service
negative,see whats holding flt bags one bag came nothing else minutes
negative,wait get deiced tulsanot good servicelooks like everyone miss connections due weather fight
positive,putting great deals pdx las las pdx show love
negative,minutes hold far still havent spoke human never using
negative,flight dca clt stuck waiting clt atc cmon faa missing flt clt mbj hope rebook
negative,thx nothing getting us country back us broken plane come get another one
positive,thanks stbernard taking time read page find info supervisor felt insist tho showed previous comm
negative,please help trace luggage put without name tag february albuquerque airport
negative,flight bos gt las tomorrow cancelled flightled notification wait times hour rebook another airline
negative,cancelled flighted flight left help find hotel stay slept airport night
negative,understand hours late flightr still havent heard word plan week zero information
positive,thank tried said didnt anywhere else try
negative,somehow knew youd wait airborne respond hacks jokers neveragain
neutral,guys must swamped even took corporate travel long time get everything worked end
negative,flight today cancelled flighted phl dozens flights still going hold need get job interview
neutral,thank
negative,sign screen major mobile issues responsive design wasnt working properly nexus
negative,need flight tonight isnt anything else
negative,apart hold hours talked people problem still resolved
negative,ive hold rebook cancelled flighted flight two hours know weather huge impact anticipate
negative,website says days counting
neutral,would next flight haydensteamboat
positive,thank im excited fly first time
negative,yo im trying make change reservation whenever select flight says unable price please help
negative,cancelled flightling flights due winter weather totally understandable would sure nice would answer phones
negative,lost bags cant reach human delivery driver says wont give us carseat return loaner hv help
positive,thanks free birthday points yall right
negative,mean real live person somewhere go speak newark post security
negative,explain hold hour im dumb using different airline wth
negative,yall get rid austin cabo flights together theres zero nonstop aug sept
negative,dont care keeping customers safe least didnt care sister
negative,cancelled flightlations delay causing miss connecting flight another night home thanks pathetic
neutral,flight prepares flight departing
negative,flight arrives minutes early wait hour bags
negative,guessing call someone
negative,youre listening lowest provider inflight wifi get times
negative,open kiosks austinbergstrom three lanes service line people really
negative,yea get phoenix already delays day people bullshit
positive,lmfaooo fleets fleek
negative,hours late flightr ive transit total twelve hoursplease change plane flight ridiculous sfo
negative,lost luggage yay
negative,well worthless regular service bunch nothings idiots sucks
neutral,returning sobewff limited carry space tummy next flight ill try snack
negative,rarely ceases amazefor worse hope last time fly
neutral,drop follow need help
negative,hold hours know keep money
neutral,got wouldnt let log email thx heres hoping dtwase without issue today
neutral,drops new video upcoming project thetakeover produced yponthebeat rt
neutral,sitting middle first time hope works well
neutral,sure carried bag numerous times style plane planning accordingly apparently accounts nothing
negative,trying strand us houston tomorrow morning pretty sure overflight booking problems maintenance arent fault
neutral,still looking speak
neutral,get flight denver ill happy
positive,thank
negative,staff rsw working sliver airlines desk helpful get information flight
negative,worst customer service experience ever bad im lawyer enjoy wrath
negative,suffering immensely ever since merge hopefully ill never fly ever
negative,checkin lame business really last seat broad shoulders haha
negative,appreciate auto rescheduling cancelled flightled flight nothing sooner tuesday fly alternate loc
positive,held plane made
negative,still refund word via dm please resolve issue cancelled flightled flight useless assistants trip
negative,disappointed service received travels nc past days lost baggage twice
positive,thats awesome love flying swa
neutral,need help reservation
neutral,please help ethiopia adopting two year old child existing confirmation need add child reservation
neutral,someone please explain process happens property found plane passengers leave heathrow
positive,thank glad heading home great people call center
positive,breathing heavily super helpful thank
negative,claimed happy way treated
neutral,please rebook seattle columbus tue locator karaax name mitchell neuer
negative,anything done make flight attendants aware aa member benefits embarrassing argued happened
negative,full capacity also pid extra seats perhaps crew could helpful
negative,guys lost luggage
positive,o” thank elaborate response
negative,wife still doesnt luggage promised said way file number fail
negative,boarding flight captain informs could exceed hrs regulation turned plane around incredible
negative,delivered moms delayed bag wrong place hrs hold yesterday hr today still bag aa
negative,apologies help would nice supvsr sally cle offered one usual southwest customer service love
negative,clueless aa waiting hear weeks refund cancelled flightled flight amp hold
negative,get hotel ur agents nothing help top sent luggage wrong flight
positive,love jetblue flyfi able charge devices domestic flights thanks
negative,cancelled flight flight cavalli calves interfering onboard equipment
negative,false
neutral,nah wouldnt
negative,lost pieces bags havent delivered hours lied delivered still refund never
negative,seriously every flight past days delayed every single one terrible
neutral,find travel funds available use past changed flights dont see option account
neutral,thank
neutral,im teaching new travelers research budget amp save trip today
negative,applied weeks ago havent heard back im flying week disappointed
negative,well going help ivebeen hold hrs amp client wants ff nbr record hes elite waa
negative,unacceptable min late flight missing screw flight tucson left even landed
negative,please provide direct email explain
negative,dont worry used initiative arriving much earlier planned
negative,cant one cant get hold cant get past automated reply hangs frustrated
negative,incompetentrude service today missed connecting flight customer service desk terrible really upset untd
neutral,guess happened vegas ended philly sexy
neutral,quick question lets say book flight drop price get cheaper rate
negative,hate delays amp holding hostage goingforgreatnessfail
negative,saying customer care report anyone response humiliating company serves public
negative,course morning see nonstop iah sfo available yesterday unitedhatesusall
neutral,rebooked due weather need change reservation fly instead
neutral,helped weight issue took vouchers hopped flight instead winwin
negative,anyone actually work dividend miles department
positive,keeping aa air crew chief cousin alex espinosa dfw
positive,thank got different flight chicago
negative,almost hours hold need cancelled flight flight get refund airlines operating
negative,im sure business go else airline travel name kathryn sotelo
neutral,trying desperately get boyfriend booked us airways flight price help
neutral,traveling two kids tomorrow ages domestic need birth certificates check airport
neutral,need move reservation due weather middle part us would like change departing airport
negative,phone service sucks
negative,i’m still waiting going far long someone speak
negative,customer service today deplorable plenty ways could gotten us flight badcustomerservice
negative,flight cancelled flightled ridiculous
positive,nicest people world work admirals clubs gladys san juan es mi amiga
negative,called back ive hold issue confirmation number email shows much ive paid
negative,hrs baltimore still going get baggage greenville unbelievable
neutral,last name pordes
positive,thank tip
negative,cost change ticket cost purchase new ticket
negative,hey booked flight isabelle gramp boston lax said charged credit card transaction didnt go
neutral,ha fleets fleek
negative,better intel said plane due flightaware app say
negative,stranding student trying get birmingham clt overnight wo help better
negative,longer flights series wifi great retire
neutral,others
negative,help rebook passenger via twitterdm hold hours thanks
negative,upon sale include btv usual jetbluehatesbtv
negative,take look status sitting ord aint cool yo
negative,running battery chargersclothescoatcontact lenses need mtg tom need help pathetic service
negative,calling morning still cant get need chge flight week
negative,cancelled flightled upset one cancelled flights could rented car would honest
negative,seats god awful
negative,get flight air
neutral,plans start flying direct dal las
negative,tooooo many cancelled flightations chain command hates
positive,cool shot moon one fleet
negative,hrs late flightr still home hotel rental car etc yr old happened customer service first priority
neutral,committed okay please hook destinationdragons
negative,needed steamboat meeting took shuttle united customer service people said bag would
negative,number even let wait next customer rep frustrating cant talk humans
negative,also agent aware clearly
neutral,want hotel room whiskey
negative,cancelled flights flight doesnt send email text call im stranded louisville
negative,lost bag baggage handlers broke open bag stole camera
negative,collectively since friday ive hold customer service hrs issue resolved frustrated
negative,website day yesterday tried put info inampdidnt go thru today flight bought went
positive,thanks getting boston early breaking barriers clean energy future
neutral,ipad iphone clicking checkin link email received flight
neutral,missed flight standby work
negative,also atgate monitor showed empty seats
neutral,would go time jamaica volunteer risk youth flyitforward dc stpatricksfoundation rotary
neutral,id go back haiti deliver shoes booksampmedicine kids met orphanage last year flyingitforward
negative,want room food allowances agents refusing give us vouchers use rooms book
positive,arrived san juan early thanks great flight luv
negative,chances making connection el paso dfw sat delayed minutes
negative,understand wish would announced delay hours earlier vs sitting hrs mco
negative,isnt one time thing either shocking pattern repeated neglect disrespect
negative,pretty hilarious want finish awful experience something make right
negative,hours landing atl amp still bagswhich means clothes makeup unitedairlines nothappy
negative,find funny responds dont customer service worst wedontcarebecauseyoupaidalready
positive,hmmmseems like could something changed flyerfriendly
neutral,alright thank page says routes aircraft specifically
negative,entire flight luggage missing dca hour nobody knows anything
negative,never fly went vacation week lost bags ways clothes thankyou
negative,would like speak vp custexp jimmy samartzis sent surveyemail awful flight exp
negative,ouch delays due mechanical issues qro wait yall seem falling apart alwaysdelayed unitedfail
negative,used call back feature operator regarding flight got call hours late flightr got hung pleasehelp
neutral,check bags final destination even though bought separate tickets iad phl phl israel
negative,denied upgrade catering issues poorservice
positive,thank
positive,thank resolving issue direct flight sfo
negative,theres nothing apparently connect true
negative,raleigh updated southern states advisory
neutral,start flights chicago evansville avgeek
negative,wouldnt describe feces sprinkled bathroom inconvenience help might find baggage lost amp return
negative,male agnt las threatens canadian cust cust takes pic gate agents announce cant help rebook friendlyskies
negative,flight listed time im plane yet
positive,seems likely
negative,expensive go vegas stops late flight june get non stop competition
neutral,ceo using vegas band help ‘connect’ people aviation business marketing consumermarketing
negative,guys suck
negative,super disappointed today first time weve stress book flight another airline airport
negative,tried check mins flight rather mins stonewalled employees
negative,know weight plane us sitting plane hrs convinced company safe flt
negative,flight delayed hours deadhead crew lets make paying customers wait great service usairways
neutral,snapchat imessage instagram
positive,thank ❤️❤️❤️ guys
negative,finally leaving home nc lodge respectful complaints mechanical issue cleared runway nocrew
negative,help delayed flight im going miss connection
negative,male flight attendants must playing game called bigger dick people flight chimid
negative,new seat assignment service embarrassment airlines customers worldwide shameonyou usairwayssucks
neutral,many thanks always employees professional courteous whenever option goto airlines
negative,gate traffic dca flight arrived earlyconnecting flight leaving minutes several us stuck hold plane
negative,despicable flight plan lost weve sitting tarmac hour min flight
negative,exactly flight delayed bdl dca cant seem get answer
positive,despite mechanical issues many delays followed cancelled flightlation still getting vegas thanks great gate agents
neutral,redeem pass admirals club free visit barclay card membership bring companion
positive,one planes thanks taking arizona
negative,thanks means lot verbally cussed charged extra bag amp told dont feel like dealing
negative,happens flight takes cancelled flight thats issue dont want pay inaccessibility
negative,im trying add flights badges account dont see option help plz
negative,wellmy paid tickets assigned seats essentially wont flight unless pay
positive,thank la something special
positive,dmed thanks much addressing quickly
positive,thank alicia exceptionalservice
negative,delayed connection missed extended layover lounge pass phl
negative,respect stress merger one rep reschedulereplane ppl already late flight youcandobetter
positive,yes everything worked great
negative,im line airport right cover hotel fair sleep airport
neutral,ok thanks clarification
positive,thanks two smooth safe fast flights boston houston luvswa
negative,way suck customer service dallas trapped ice storm didnt cancelled flight flight amp hold day
negative,add insult injury go pick real class act ill stick delta
positive,thank much completely made things right
positive,big kudos staff today dallas love field lifting everyones spirits today delays cancelled flightlations
neutral,chance change include northeast airports jetblue
negative,would really like baggage yesterday employees akron giving tough time
negative,never imagined would hard spend money us air stubbornly hoping someone come back phone
positive,didflyfi worked well free aboard flight
negative,please call us back rebook cant need get columbus
negative,anyone anything today website useless one answering phone
positive,best airline
negative,im flight booking problems without major problems isnt bad
neutral,landed phoenix board flight quickly vegas time airport
negative,thanks nothing
negative,even say anything hours hold one ever sucked much
neutral,look capture uvf
negative,arriving two hours late flight clt sitting tarmac move plane gate unhappy customer
negative,told would emailed havent received anything yet followup
negative,maam complaint visit customer service desk sees line people deep
positive,always together youre welcome rt youre welcome
negative,cancelled flightled two flights miami nashville yesterday could get flight days southwestairwasthere
positive,might look wife travels much could use membership
negative,well mom called earlier guys hold close hour
negative,thanks bad make two day train trip look appealing
negative,hey guys flight booking problems system ran first middle names together time flight booking problems going tsanightmare
positive,haha indeed great day
negative,scheduling skills failed delay went four hours nearly six dont tell snowbound pbi
positive,thanks updating hour delay exact second got atl
negative,airline rated worst america youve got work cut bc treat customers like garbage
negative,sucks oh well
negative,flight cancelled flightled wife stuck phoenix way slc san thanks lot southwest
negative,worst pay take first flight round trip otherwise theyll cancelled flight whole flight
neutral,would go back aruba flew jfk bestplanesever bestflightever
neutral,fleets fleek
positive,good luck dfw evening aa
neutral,youd love see girls inspired becoming pilots rt free woaw event march abq
positive,thank jetblue jetgreen jetred blue favorite color jet blue makes better
neutral,exactly
negative,course interesting united doesnt seem good sense whats happening flight
negative,first complaint filed feb days still responsedisappointed surprised
negative,lost customer today flight today cancelled flightled find calling customer service yesterday
negative,calls span two daysnone available speak someone un fin believable worst ever
negative,every crew member dealt orlando incredibly rude im actually pretty disgusted jetblue right
negative,flight cancelled flighted lax tomorrow due connection dfw help please go orange burbank
negative,take back comment team working hard help us far solution hotel food anything fail
negative,well hours still one picked try paying overtime bring people
negative,stop cancelled flighting flights provide real help customers strandedinnashville
neutral,flight im way
negative,trying speak agent whole day cancelled flightled flight
neutral,depart washington dc
neutral,fleets fleek fleek dead yet
negative,ive trying get book reservation system let day ridiculous
neutral,need info great amenity kits pjs included status match aa kp”
negative,sent screen shot incident report
negative,hours hold change cancelled flightled flight completely unacceptable
negative,work incredibly unfriendly ground staff false promises twitter
positive,usually excellent swa flight
neutral,contacted bank took money today also contacted said reservation
positive,good fly united businessfirst
negative,hold hour chance someone help
negative,nope flight leaving almost cant believe paid money
neutral,really missed prime opportunity men without hats parody
neutral,um south snow atl
neutral,flight bwi delayed miss flight denver way find hold plane
negative,would able rebook get home sooner delayed flight linesforever customerservice fail
negative,gate changes minutes flight roanoke flight sous falls ohare painful
negative,really getting horrible much tucking kids tonight delta transfers milesstatus right
positive,mark austin great handling bag issue thanks
negative,suggestion shades windows travelers wont watch ur luggage handlers throwing bags around
negative,understanding situation waited opened
negative,want pay parking fee orlando airport app told moms flight landed lied
negative,trying reach dividend miles extend ticket last days calls get message call back
negative,called told bag made phl still delivered call delivery service
positive,best airways follow please
negative,slowest boarding process ive ever experienced rude customer service agents
negative,rampers gate dfw waiting marshaled
negative,ok day trying book flight ur system still says due weather…call back late flightr outofbusiness
positive,ok thank told ground delay due snow
negative,hold long rebook cancelled flightled flight enough time rebook instead lots room
negative,isnt good enough need provide phone number partners investigated
neutral,team offer inflight access journal broadway world
negative,certain flights cltnyc notion cant rebook customers hours absurd
negative,doesnt allow hold thats problem
positive,youre good thank
